measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,203,Cabo Verde,3,Both,22,All ages,1,Number,2021,559262.0213681902,634089.6173432812,487318.5823271375
44,Population,44855,Oromia,3,Both,22,All ages,1,Number,2021,41673335.06257472,49693777.0922809,34163591.82824377
44,Population,4926,Nordland,3,Both,22,All ages,1,Number,2021,244524.7451664687,277646.92583353975,213493.01040891488
44,Population,564,South Dakota,3,Both,22,All ages,1,Number,2021,891077.8479974099,980506.507468059,798814.1189561556
44,Population,44648,Redcar and Cleveland,3,Both,22,All ages,1,Number,2021,133919.4680861554,161661.2931182831,107590.69474129281
44,Population,35634,Kitui,3,Both,22,All ages,1,Number,2021,1201947.8943168719,1362099.965176977,1053149.7198918897
44,Population,35445,Shizuoka,3,Both,22,All ages,1,Number,2021,3673299.001987073,4083367.772003563,3274894.886352668
44,Population,4860,Maharashtra,3,Both,22,All ages,1,Number,2021,124979144.27775785,147547336.72794518,103524313.52750033
44,Population,72,New Zealand,3,Both,22,All ages,1,Number,2021,5169513.535649297,5607441.930330718,4717436.037224741
44,Population,4923,Møre og Romsdal,3,Both,22,All ages,1,Number,2021,270948.8052825274,307208.1523280227,236298.08214582404
44,Population,44860,Gambella,3,Both,22,All ages,1,Number,2021,522785.1571189506,638242.6442460597,414324.0945992618
44,Population,35632,Kisii,3,Both,22,All ages,1,Number,2021,1273127.7214716626,1449255.4158230224,1116278.9175864318
44,Population,121,Bolivia (Plurinational State of),3,Both,22,All ages,1,Number,2021,11797128.171828238,13298028.337207498,10327145.39223942
44,Population,4940,Sweden except Stockholm,3,Both,22,All ages,1,Number,2021,8007357.08557828,8845844.813845886,7201645.329588994
44,Population,35633,Kisumu,3,Both,22,All ages,1,Number,2021,1214555.9587734533,1381192.3235307278,1066884.426947212
44,Population,62,Russian Federation,3,Both,22,All ages,1,Number,2021,144853838.7501741,163580565.15592572,124993275.5559754
44,Population,44659,Sefton,3,Both,22,All ages,1,Number,2021,270491.6734411198,323678.5710022029,221153.368843944
44,Population,44781,North Somerset,3,Both,22,All ages,1,Number,2021,217901.19279455146,260082.779920446,177210.347607092
44,Population,44658,Cheshire West and Chester,3,Both,22,All ages,1,Number,2021,336664.4292499108,406212.79022075434,274330.89083551633
44,Population,44722,Thurrock,3,Both,22,All ages,1,Number,2021,177080.92652697282,213339.58225563183,144654.88399971617
44,Population,44735,Brent,3,Both,22,All ages,1,Number,2021,357151.355378486,423403.36038220883,291606.78797053586
44,Population,4626,South West England,3,Both,22,All ages,1,Number,2021,5662971.044024266,6458861.533660355,4871026.848816284
44,Population,135,Brazil,3,Both,22,All ages,1,Number,2021,220356039.81239462,250951727.29447562,188144907.54485232
44,Population,71,Australia,3,Both,22,All ages,1,Number,2021,25791946.413043674,27547911.797256637,24001015.462653127
44,Population,44639,Middle SDI,3,Both,22,All ages,1,Number,2021,2448543920.678546,2542109614.7260003,2353584070.3334107
44,Population,35434,Saitama,3,Both,22,All ages,1,Number,2021,7454818.716765801,8250008.787614163,6719960.582214828
44,Population,132,Panama,3,Both,22,All ages,1,Number,2021,4292001.10539647,4867069.292477211,3695473.4304419765
44,Population,4732,East Kalimantan,3,Both,22,All ages,1,Number,2021,3859230.848466767,4289936.026087475,3432117.830083729
44,Population,567,Utah,3,Both,22,All ages,1,Number,2021,3328169.6285844506,3661648.671644627,2976165.76936125
