exposure,age,low,central,high
157.9,25+,3.07076679065284,3.580362819259658,4.174526687131349
158,25+,3.0714967957788017,3.5813304657250664,4.1757907487832515
158.10000000000002,25+,3.0722261760805445,3.582297315398141,4.17705381062813
158.20000000000002,25+,3.072954932346539,3.5832633692369313,4.1783158738063975
158.3,25+,3.0736830653648854,3.584228628199242,4.179576939458444
158.4,25+,3.074410575923326,3.5851930932426352,4.180837008724646
158.5,25+,3.075137464809224,3.5861567653244193,4.182096082745342
158.60000000000002,25+,3.075863732809578,3.5871196454016494,4.183354162660838
158.70000000000002,25+,3.0765893807110047,3.588081734431118,4.184611249611393
158.8,25+,3.0773144092997415,3.5890430333693537,4.185867344737218
158.9,25+,3.078038819361642,3.5900035431726103,4.187122449178461
159,25+,3.0787626116821745,3.590963264796869,4.188376564075205
159.10000000000002,25+,3.0794857870464156,3.5919221991978287,4.18962969056746
159.20000000000002,25+,3.0802083462390466,3.5928803473309,4.190881829795157
159.3,25+,3.080930290044354,3.593837710151204,4.192132982898133
159.4,25+,3.0816516192462253,3.594794288613568,4.193383151016141
159.5,25+,3.082372334628139,3.595750083672514,4.194632335288823
159.60000000000002,25+,3.083092436973171,3.5967050962822613,4.195880536855716
159.70000000000002,25+,3.083811927063986,3.5976593273967152,4.19712775685624
159.8,25+,3.084530805682833,3.5986127779694685,4.1983739964296936
159.9,25+,3.0852490736115454,3.599565448953792,4.199619256715243
160,25+,3.08596673163154,3.600517341302632,4.200863538851924
160.10000000000002,25+,3.0866837805238028,3.6014684559686025,4.202106843978617
160.20000000000002,25+,3.087400221068902,3.602418793903987,4.203349173234071
160.3,25+,3.0881160540469694,3.6033683560607255,4.204590527756858
160.4,25+,3.0888312802377076,3.604317143390414,4.205830908685398
160.5,25+,3.089545900420383,3.605265156844305,4.207070317157939
160.60000000000002,25+,3.0902599153738213,3.60621239737329,4.208308754312549
160.70000000000002,25+,3.0909733258764094,3.607158865927908,4.209546221287116
160.8,25+,3.091686132706085,3.60810456345833,4.210782719219333
160.9,25+,3.0923983366403416,3.609049490914368,4.212018249246701
161,25+,3.0931099384562204,3.609993649245456,4.213252812506514
161.10000000000002,25+,3.093820938930306,3.6109370394006506,4.2144864101358595
161.20000000000002,25+,3.094531338838729,3.611879662328631,4.2157190432716
161.3,25+,3.0952411389571575,3.612821518977692,4.2169507130503865
161.4,25+,3.0959503400607975,3.613762610295733,4.218181420608633
161.5,25+,3.096658942924392,3.614702937230269,4.219411167082519
161.60000000000002,25+,3.0973669483222084,3.6156425007284048,4.220639953607986
161.70000000000002,25+,3.0980743570280493,3.6165813017368538,4.2218677813207215
161.8,25+,3.0987811698152377,3.617519341201912,4.223094651356162
161.9,25+,3.099487387456618,3.618456620069467,4.2243205648494735
162,25+,3.1001930107245617,3.619393139285001,4.225545522935575
162.10000000000002,25+,3.1008980403909487,3.620328899793558,4.226769526749092
162.20000000000002,25+,3.101602477227177,3.6212639025397713,4.22799257742438
162.3,25+,3.1023063220041545,3.6221981484678385,4.229214676095506
162.4,25+,3.1030095754922997,3.623131638521531,4.230435823896249
162.5,25+,3.103712238461531,3.6240643736441744,4.231656021960081
