GID,NAME_0,scenario,ISO3,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
PRK,North Korea,HSBC,PRK,high,NA,NA,0,0,26546014.246751744,0,NA
TWN,Taiwan,HSBC,TWN,high,NA,NA,0,0,22529344.00024697,0,NA
YEM,Yemen,HSBC,YEM,high,Yemeni Rial,YER,0,0,36771690.80361693,0,NA
BGD,Bangladesh,HSBC,BGD,low,Taka,BDT,171.35753505423676,14399.03974041984,187977310.24890932,0.9115862697861484,4.912252558021432e-4
MMR,Myanmar,HSBC,MMR,low,Kyat,MMK,41.53464789209396,63639.260936178194,61358119.90370069,0.6769217824353331,4.8083212293038326e-4
NPL,Nepal,HSBC,NPL,low,Nepalese Rupee,NPR,18.228835081298786,2057.6672582099945,36643063.8326172,0.49747027608190064,4.6446937381308976e-4
IND,India,HSBC,IND,low,Indian Rupee,INR,1391.4846874261364,98656.264338513,1527468581.4078665,0.9109743430163427,4.3294257446782223e-4
LKA,Sri Lanka,HSBC,LKA,low,Sri Lanka Rupee,LKR,34.27981393931789,6127.341914601982,21447311.089884043,1.5983268856246737,4.14817588461488e-4
BTN,Bhutan,HSBC,BTN,low,Indian Rupee,INR,1.5312978903655894,104.72469707315766,1142462.968257099,1.3403479437952228,4.132754934043816e-4
BTN,Bhutan,HSBC,BTN,low,Ngultrum,BTN,1.5312978903655894,104.72469707315766,1142462.968257099,1.3403479437952228,4.132754934043816e-4
LAO,Laos,HSBC,LAO,low,Kip,LAK,6.300814777327702,56639.535658487235,8781624.41976369,0.7174999152944022,2.8304879992061124e-4
VNM,Vietnam,HSBC,VNM,low,Dong,VND,75.13420416553552,1731861.5659527406,106356731.7242824,0.7064358122653892,2.6017090078256957e-4
SWZ,Swaziland,HSBC,SWZ,low,Lilangeni,SZL,1.4460524369023655,21.25697082246478,1535845.8584102357,0.9415348740785641,2.4538135269544753e-4
KHM,Cambodia,HSBC,KHM,low,Riel,KHR,7.151032221757098,29041.407356356634,19733523.558664918,0.36237989634735585,2.2054359393360604e-4
IDN,Indonesia,HSBC,IDN,low,Rupiah,IDR,232.8261354914196,3293947.6582644763,291128042.4071223,0.7997379213845309,1.9338037173631103e-4
