"country","Pop_1to18yrs","Total","0ppb_central","0ppb_low","0ppb_high","2ppb_central","2ppb_low","2ppb_high","5ppb_central","5ppb_low","5ppb_high"
"Botswana",870000,15,2,0.86,2.7,1.3,0.57,1.7,0.33,0.15,0.42
"Brazil",6.2e+07,1100,190,82,240,140,63,180,77,36,97
"Brunei",130000,1.5,0.19,0.082,0.25,0.12,0.054,0.16,0.047,0.021,0.06
"Bulgaria",1200000,11,1.7,0.74,2.2,1.2,0.54,1.6,0.54,0.25,0.7
"Burkina Faso",9200000,150,20,8.5,26,13,5.8,17,4.2,1.9,5.4
"Burundi",5600000,98,7.1,3,9.5,2.8,1.2,3.8,0.24,0.11,0.31
"Cambodia",6400000,130,19,8.2,25,13,5.7,17,5.1,2.3,6.5
"Cameroon",1.1e+07,140,16,7,22,9.9,4.3,13,3.1,1.4,4
"Canada",7500000,170,42,19,54,34,15,43,23,11,29
"Cape Verde",210000,2.5,0.25,0.11,0.33,0.14,0.061,0.19,0.02,0.0088,0.026
"Central African Republic",2300000,44,3.4,1.5,4.5,1.6,0.72,2.2,0.46,0.21,0.59
"Chad",7600000,110,14,6.2,19,9.4,4.1,12,2.8,1.2,3.6
"Chile",5e+06,82,20,9,25,16,7.4,20,11,5.2,14
"China",2.9e+08,3900,940,430,1200,760,350,970,510,240,640
"Colombia",1.8e+07,400,72,32,94,54,24,69,31,15,39
"Comoros",370000,7.5,0.33,0.14,0.45,0.12,0.053,0.16,0.0024,0.0011,0.0031
"Congo",2100000,34,3.6,1.6,4.8,2.2,0.99,2.9,0.94,0.43,1.2
"Costa Rica",1500000,34,4.4,1.9,5.8,2.9,1.3,3.8,1.1,0.48,1.4
