"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-812.260488611951,"PM25","LC",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-37192.3149169186,"PM25","LRI",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-1933.07718120022,"PM25","LRI",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-146853.221841832,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLDs",-10404.7929880574,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-6214.51687350387,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","exac",-56275.7459897587,"PM25","Asthma",FALSE,"0-18","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","exac",-58955.7442386671,"PM25","Asthma",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","PTB",-116511.804007118,"PM25","PTB",FALSE,"Newborn","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","LBW",-188884.901695713,"PM25","LBW",FALSE,"Newborn","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","Absences",-36356287.6052184,"PM25","Absences",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-114732.647509422,"PM25","LRI.child",FALSE,"0-4","Dhaka","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
