"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-10227.3652907618,"PM25","IHD",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-8702.15957610408,"PM25","Stroke",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-3574.04671192986,"PM25","COPD",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-722.560517367502,"PM25","LC",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-2436.4727682933,"PM25","LRI",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths.child",-724.968676286358,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-1529.4746968436,"PM25","Diabetes",TRUE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Absences",-31533931.7601537,"PM25","Absences",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","LBW",-79544.0677614144,"PM25","LBW",FALSE,"Newborn","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","PTB",-97552.447859425,"PM25","PTB",FALSE,"Newborn","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","exac",-42977.21112182,"PM25","Asthma",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","exac",-37031.9873635914,"PM25","Asthma",FALSE,"0-18","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
