"scenario","region_id","estimate","pop","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-3485.09560992364,"PM25","IHD",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-2685.61153152523,"PM25","Stroke",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-2421.59154899569,"PM25","COPD",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-341.932894845916,"PM25","LC",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-1102.33103784454,"PM25","LRI",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths.child",-596.333476904751,"PM25","LRI.child",FALSE,"0-4","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-1258.09154745648,"PM25","Diabetes",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"exac",-30461.1971572968,"PM25","Asthma",FALSE,"0-18","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"exac",-35351.5270028318,"PM25","Asthma",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"PTB",-80243.1778302128,"PM25","PTB",FALSE,"Newborn","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"LBW",-65430.124151426,"PM25","LBW",FALSE,"Newborn","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Absences",-25938691.9491979,"PM25","Absences",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
