"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-20778.4753279662,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-4332.25297074252,"COPD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-264217.621177865,"IHD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-9932.29117686152,"IHD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-13711.5248590089,"LC","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-519.241542716046,"LC","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-46696.0965322335,"LRI","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-2315.14559998846,"LRI","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-770630.462624692,"NCD.LRI","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-32823.32666,"NCD.LRI","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-216046.504504323,"Stroke","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-12664.2819946345,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-9089.75566173813,"Stroke","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-75486.553499176,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-844.808414898651,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-34896.647992099,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-1777.02715345406,"Diabetes","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-37031.9873635914,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-42977.2111218199,"Asthma.18to99","AsthmaERV",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-107020.617321966,"PTB","PTB",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-87264.3939021817,"LBW","LBW",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-31003607.0541102,"Absences","Absences",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-33910.4277060302,"COPD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-8618.19977577996,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-1812.5560212551,"COPD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-194253.568826098,"IHD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-7429.69358640555,"IHD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-6675.26620259319,"LC","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-253.381625648635,"LC","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-21536.2773278504,"LRI","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-1080.22425037404,"LRI","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-523744.68237889,"NCD.LRI","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-22638.469673829,"NCD.LRI","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-93853.7731882559,"Stroke","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-4982.55634041721,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-3979.10495954388,"Stroke","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-46335.6536950103,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-518.709025007578,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-15436.7587821873,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-952.566194987204,"Diabetes","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-18754.3922712885,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-27539.1191519582,"Asthma.18to99","AsthmaERV",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-42381.9002652594,"PTB","PTB",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-22273.1801652639,"LBW","LBW",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-25827066.1991049,"Absences","Absences",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-146711.960128014,"COPD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-34093.2874054954,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-7600.03049565183,"COPD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-348723.125741089,"IHD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-12955.619976228,"IHD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-24908.0027767253,"LC","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-919.04642779659,"LC","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-74035.7924040012,"LRI","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-3656.85000174186,"LRI","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-1072412.72844924,"NCD.LRI","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-45102.9454233909,"NCD.LRI","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-358616.762755745,"Stroke","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-21501.0966415305,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-15201.1313564803,"Stroke","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-114137.351065136,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-1277.29293973325,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-55738.2228701342,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-2422.83763083623,"Diabetes","Deaths",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-56275.7459897587,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-58955.7442386671,"Asthma.18to99","AsthmaERV",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-116511.804007118,"PTB","PTB",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-188884.901695713,"LBW","LBW",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-36356287.6052184,"Absences","Absences",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
