estimate,iso3,Outcome,Cause,Pollutant,scenario,region_name,year,number,cost.USD
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2022,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2023,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2024,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2025,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2026,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2027,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2028,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2029,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2030,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2031,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2032,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2033,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2034,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2035,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2036,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2037,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2038,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2039,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2040,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2041,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2042,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2043,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2044,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2045,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2046,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2047,0.008123534450329211,0
