scenario,iso3,region_id,region_name,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
scenario1,BRN,BRN,Brunei,high,Brunei Dollar,BND,4.5453852369586425,6.200814540258988,597515.8241621748,7.607137841633055,2.4470675054557174e-4
scenario1,MYS,MYS,Malaysia,high,Malaysian Ringgit,MYR,92.51039536868298,383.22151305240936,33235270.875280656,2.7835005682920215,2.438493345893807e-4
scenario1,AFG,AFG,Afghanistan,high,Afghani,AFN,4.87783836994466,378.666104874967,39848761.98105132,0.12240878078631766,2.4378610892659185e-4
scenario1,CHN,CHN,China,high,Yuan Renminbi,CNY,3573.019132905056,24683.84537776135,1450705425.4458532,2.4629528987988314,2.4001460852430672e-4
scenario1,TLS,TLS,Timor-Leste,high,US Dollar,USD,0.3426963000262055,0.3426963000262055,1106761.0015873052,0.30963893698342637,2.392532719726378e-4
scenario1,NAM,NAM,Namibia,high,Namibia Dollar,NAD,3.229129150377926,46.65574961632043,3153838.434351698,1.0238727244890415,2.065317998217821e-4
scenario1,NAM,NAM,Namibia,high,Rand,ZAR,3.229129150377926,46.65574961632043,3153838.434351698,1.0238727244890415,2.065317998217821e-4
scenario1,MOZ,MOZ,Mozambique,high,Mozambique Metical,MZN,3.5842742072816787,224.26803714961466,37358214.46823282,0.09594340249664582,1.950843454673617e-4
scenario1,MDV,MDV,Maldives,high,Rufiyaa,MVR,0.26640679431485137,4.0978693101510375,131839.4818789405,2.020690543667906,1.8726569661458168e-4
scenario1,JPN,JPN,Japan,high,Yen,JPY,636.7634475471635,69413.37067499793,124751438.7749191,5.104257344045822,1.268236774567266e-4
scenario1,MDG,MDG,Madagascar,high,Malagasy Ariary,MGA,1.9591386669072193,7088.794343607189,30513498.569994304,0.06420563877371158,1.2294753595870557e-4
scenario1,KOR,KOR,South Korea,high,Won,KRW,203.03556605026668,236609.01966342307,52608121.04512764,3.859395888252714,1.215099363659244e-4
scenario1,ZMB,ZMB,Zambia,high,Zambian Kwacha,ZMW,3.2382308095778933,41.73885219697332,21067180.368814427,0.1537097396465746,1.1903088266097761e-4
scenario1,SGP,SGP,Singapore,high,Singapore Dollar,SGD,19.312168941301017,26.345660869722867,2800442.442780054,6.896113502025576,1.0571464816981782e-4
scenario1,MWI,MWI,Malawi,high,Kwacha,MWK,0.9719548036551918,725.0126765775252,24329373.85802166,0.03994984866142486,9.707112495170199e-5
scenario1,MNG,MNG,Mongolia,high,Tugrik,MNT,1.3014407976002713,3466.441444057338,3158347.8431124394,0.41206379482183564,9.59350984137129e-5
scenario1,TJK,TJK,Tajikistan,high,Somoni,TJS,0.8097670931974944,7.717404305009406,11744796.696667368,0.06894688040255895,7.917761030120392e-5
scenario1,KGZ,KGZ,Kyrgyzstan,high,Som,KGS,0.5091201683368927,35.53116520300022,7698510.125475707,0.06613229833291062,5.050607323727693e-5
scenario1,UZB,UZB,Uzbekistan,high,Uzbekistan Sum,UZS,2.3470356733043363,20740.25549990984,33898551.177533984,0.06923704971968882,4.01411169633449e-5
scenario1,AGO,AGO,Angola,high,Kwanza,AOA,3.774044110319047,1376.868661782433,32824595.587040983,0.11497610382773533,3.8665740395703734e-5
scenario1,HKG,HKG,Hong Kong,high,Hong Kong Dollar,HKD,15.128325543326573,118.54404612495283,8390908.564098,1.8029424856392564,3.6979009439857925e-5
scenario1,MAC,MAC,Macao,high,Pataca,MOP,0.3026790836256239,2.442771544400598,99759.40151396206,3.034090812816893,3.607872567558019e-5
scenario1,COD,COD,Democratic Republic of the Congo,high,Congolese Franc,CDF,1.3676823728108956,2253.6124433911205,105225969.1392145,0.012997574496096537,2.3839303018880804e-5
scenario1,TKM,TKM,Turkmenistan,high,Turkmenistan New Manat,TMT,0.9986446701395763,3.4952563454885173,6507940.6256007105,0.15345018149230535,2.2026440662898382e-5
